Verbs\Deprels	NMOD	P	PMOD	SBJ	OBJ	ADV	NAME	VC	COORD	DEP	TMP	CONJ	LOC	AMOD	PRD	APPO	IM	HYPH	EXTRA
about	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
above	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
accelerated	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
acceptances	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
account	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
accounts	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
acknowledged	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
acquired	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
added	0	37	0	16	14	5	0	0	1	0	1	0	1	0	0	0	0	0	2
adds	0	10	0	4	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0
admits	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
advised	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
agency	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
agree	0	5	0	3	2	3	0	0	0	1	0	0	0	0	0	0	0	0	1
agreed	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
airlines	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
align	0	3	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
alleged	0	4	0	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
allocate	0	4	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
allow	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
am	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
analyzed	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
announced	0	9	0	8	7	0	0	0	0	0	5	0	0	0	0	0	0	0	1
appear	0	5	0	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1
appeared	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
appears	0	9	0	4	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2
are	0	138	0	88	1	35	0	42	10	9	11	0	2	0	41	0	0	0	10
argue	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argued	0	6	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1
argues	0	4	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asked	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
associates	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
association	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
attend	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
authority	2	5	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
authorized	0	3	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
average	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
averaged	0	4	0	2	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0
awarded	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
baker	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
beat	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
become	0	4	0	2	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0
began	0	15	0	8	1	5	0	1	0	1	6	0	0	0	0	0	0	0	7
believe	0	4	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
believed	0	2	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1
believes	0	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
bellsouth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
benefited	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
bet	0	2	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
between	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
bill	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
billion	2	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
bills	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blackmun	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
blindfolded	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bonds	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bostonians	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
bought	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
braved	0	2	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0
bring	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
britain	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
brought	0	4	0	1	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0
build	0	2	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1
built	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
buy	0	4	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0
ca	0	7	0	4	0	4	0	6	1	0	0	0	0	0	0	0	0	0	0
called	0	8	0	4	4	8	0	0	0	0	4	0	0	0	0	0	0	0	1
came	0	13	0	8	0	6	0	1	2	3	4	0	0	0	0	0	0	0	3
camped	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
can	0	22	0	11	0	7	0	11	2	1	2	0	0	0	0	0	0	0	0
capital	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
capped	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
captioned	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
careened	0	3	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1
carriers	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
cast	0	5	0	3	2	3	0	0	0	0	2	0	1	0	0	0	0	0	0
caught	0	4	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
caused	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
cautioned	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
challenged	0	4	0	1	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0
charge	4	4	0	2	2	1	0	0	1	2	0	0	1	0	0	0	0	0	0
chemical	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
